traitID	traitDescription	traitType	downloadLink
23108_irnt.female	Impedance of leg (left)	non-blood	https://www.dropbox.com/s/qwfrrbv4grgls1t/23108_irnt.ldsc.imputed_v3.female.tsv.bgz
23108_irnt.male	Impedance of leg (left)	non-blood	https://www.dropbox.com/s/7ohofau6ualt9e0/23108_irnt.ldsc.imputed_v3.male.tsv.bgz
23109_irnt.female	Impedance of arm (right)	non-blood	https://www.dropbox.com/s/ub9xsd9ul0szrej/23109_irnt.ldsc.imputed_v3.female.tsv.bgz
23109_irnt.male	Impedance of arm (right)	non-blood	https://www.dropbox.com/s/1dvq2d01xr5jpd7/23109_irnt.ldsc.imputed_v3.male.tsv.bgz
23110_irnt.female	Impedance of arm (left)	non-blood	https://www.dropbox.com/s/qs27g9zc0y65dqy/23110_irnt.ldsc.imputed_v3.female.tsv.bgz
23110_irnt.male	Impedance of arm (left)	non-blood	https://www.dropbox.com/s/sryo0q12rm16zld/23110_irnt.ldsc.imputed_v3.male.tsv.bgz
23111_irnt.female	Leg fat percentage (right)	non-blood	https://www.dropbox.com/s/im3jysx0y730hdd/23111_irnt.ldsc.imputed_v3.female.tsv.bgz
23111_irnt.male	Leg fat percentage (right)	non-blood	https://www.dropbox.com/s/2xnorsn1t3vmnft/23111_irnt.ldsc.imputed_v3.male.tsv.bgz
23112_irnt.female	Leg fat mass (right)	non-blood	https://www.dropbox.com/s/0udr949teacqa8g/23112_irnt.ldsc.imputed_v3.female.tsv.bgz
23112_irnt.male	Leg fat mass (right)	non-blood	https://www.dropbox.com/s/ljsaxk9al6jafsz/23112_irnt.ldsc.imputed_v3.male.tsv.bgz
23113_irnt.female	Leg fat-free mass (right)	non-blood	https://www.dropbox.com/s/5cqi6i2gaxdnq0s/23113_irnt.ldsc.imputed_v3.female.tsv.bgz
23113_irnt.male	Leg fat-free mass (right)	non-blood	https://www.dropbox.com/s/qn0754ra6rpvdl0/23113_irnt.ldsc.imputed_v3.male.tsv.bgz
23114_irnt.female	Leg predicted mass (right)	non-blood	https://www.dropbox.com/s/vtvxztcbub3xrnm/23114_irnt.ldsc.imputed_v3.female.tsv.bgz
23114_irnt.male	Leg predicted mass (right)	non-blood	https://www.dropbox.com/s/xbnp4ycbdqxfy62/23114_irnt.ldsc.imputed_v3.male.tsv.bgz
23115_irnt.female	Leg fat percentage (left)	non-blood	https://www.dropbox.com/s/7fauku2vmukxkut/23115_irnt.ldsc.imputed_v3.female.tsv.bgz
23115_irnt.male	Leg fat percentage (left)	non-blood	https://www.dropbox.com/s/jiorzmqyb8bqb3s/23115_irnt.ldsc.imputed_v3.male.tsv.bgz
23116_irnt.female	Leg fat mass (left)	non-blood	https://www.dropbox.com/s/be1pj15blb63ike/23116_irnt.ldsc.imputed_v3.female.tsv.bgz
23116_irnt.male	Leg fat mass (left)	non-blood	https://www.dropbox.com/s/u1aagq2w330u81g/23116_irnt.ldsc.imputed_v3.male.tsv.bgz
23117_irnt.female	Leg fat-free mass (left)	non-blood	https://www.dropbox.com/s/uy3f8vvkeqklnc9/23117_irnt.ldsc.imputed_v3.female.tsv.bgz
23117_irnt.male	Leg fat-free mass (left)	non-blood	https://www.dropbox.com/s/5bb6xyz0tzkrzy1/23117_irnt.ldsc.imputed_v3.male.tsv.bgz
23118_irnt.female	Leg predicted mass (left)	non-blood	https://www.dropbox.com/s/gjtt5bajucz41xf/23118_irnt.ldsc.imputed_v3.female.tsv.bgz
23118_irnt.male	Leg predicted mass (left)	non-blood	https://www.dropbox.com/s/rfr3oponjwglg92/23118_irnt.ldsc.imputed_v3.male.tsv.bgz
23119_irnt.female	Arm fat percentage (right)	non-blood	https://www.dropbox.com/s/uux2hx4f3k90coa/23119_irnt.ldsc.imputed_v3.female.tsv.bgz
23119_irnt.male	Arm fat percentage (right)	non-blood	https://www.dropbox.com/s/isfjj8uxhr5a8zz/23119_irnt.ldsc.imputed_v3.male.tsv.bgz
23120_irnt.female	Arm fat mass (right)	non-blood	https://www.dropbox.com/s/s9l1udrthxj86es/23120_irnt.ldsc.imputed_v3.female.tsv.bgz
23120_irnt.male	Arm fat mass (right)	non-blood	https://www.dropbox.com/s/fcknly8szgs7gsf/23120_irnt.ldsc.imputed_v3.male.tsv.bgz
23121_irnt.female	Arm fat-free mass (right)	non-blood	https://www.dropbox.com/s/gwdehuhlr3vy3ba/23121_irnt.ldsc.imputed_v3.female.tsv.bgz
23121_irnt.male	Arm fat-free mass (right)	non-blood	https://www.dropbox.com/s/v3x0m9acau110k9/23121_irnt.ldsc.imputed_v3.male.tsv.bgz
23122_irnt.female	Arm predicted mass (right)	non-blood	https://www.dropbox.com/s/q0lrkgqrltqq74h/23122_irnt.ldsc.imputed_v3.female.tsv.bgz
23122_irnt.male	Arm predicted mass (right)	non-blood	https://www.dropbox.com/s/gbjiou5bjd4w5w9/23122_irnt.ldsc.imputed_v3.male.tsv.bgz
23123_irnt.female	Arm fat percentage (left)	non-blood	https://www.dropbox.com/s/x0k64g4i92zv2z5/23123_irnt.ldsc.imputed_v3.female.tsv.bgz
23123_irnt.male	Arm fat percentage (left)	non-blood	https://www.dropbox.com/s/xovmof1ibz177rr/23123_irnt.ldsc.imputed_v3.male.tsv.bgz
23124_irnt.female	Arm fat mass (left)	non-blood	https://www.dropbox.com/s/3m116fuwjggb56v/23124_irnt.ldsc.imputed_v3.female.tsv.bgz
23124_irnt.male	Arm fat mass (left)	non-blood	https://www.dropbox.com/s/zknd9leoqwrl74k/23124_irnt.ldsc.imputed_v3.male.tsv.bgz
23125_irnt.female	Arm fat-free mass (left)	non-blood	https://www.dropbox.com/s/bhkgylq3ptibfqx/23125_irnt.ldsc.imputed_v3.female.tsv.bgz
23125_irnt.male	Arm fat-free mass (left)	non-blood	https://www.dropbox.com/s/6e3e1vdgpie4s1h/23125_irnt.ldsc.imputed_v3.male.tsv.bgz
23126_irnt.female	Arm predicted mass (left)	non-blood	https://www.dropbox.com/s/jwyyg1s22ky8ckt/23126_irnt.ldsc.imputed_v3.female.tsv.bgz
23126_irnt.male	Arm predicted mass (left)	non-blood	https://www.dropbox.com/s/qd4ju8q1yrfrzio/23126_irnt.ldsc.imputed_v3.male.tsv.bgz
23127_irnt.female	Trunk fat percentage	non-blood	https://www.dropbox.com/s/mmpw6mq5lv5fvsf/23127_irnt.ldsc.imputed_v3.female.tsv.bgz
23127_irnt.male	Trunk fat percentage	non-blood	https://www.dropbox.com/s/7bes1v3h9qy8pir/23127_irnt.ldsc.imputed_v3.male.tsv.bgz
23128_irnt.female	Trunk fat mass	non-blood	https://www.dropbox.com/s/7o0e4chcbo7nryk/23128_irnt.ldsc.imputed_v3.female.tsv.bgz
23128_irnt.male	Trunk fat mass	non-blood	https://www.dropbox.com/s/4xzqz6zlrextn6k/23128_irnt.ldsc.imputed_v3.male.tsv.bgz
23129_irnt.female	Trunk fat-free mass	non-blood	https://www.dropbox.com/s/w7u6jvoes9jyowk/23129_irnt.ldsc.imputed_v3.female.tsv.bgz
23129_irnt.male	Trunk fat-free mass	non-blood	https://www.dropbox.com/s/84j0xwnkoxf6j4s/23129_irnt.ldsc.imputed_v3.male.tsv.bgz
23130_irnt.female	Trunk predicted mass	non-blood	https://www.dropbox.com/s/fjpfsl7j3ew576a/23130_irnt.ldsc.imputed_v3.female.tsv.bgz
23130_irnt.male	Trunk predicted mass	non-blood	https://www.dropbox.com/s/tqmgx4vhbaxvs3j/23130_irnt.ldsc.imputed_v3.male.tsv.bgz
24003_irnt.female	Nitrogen dioxide air pollution; 2010	non-blood	https://www.dropbox.com/s/c90ss0f5rlra11x/24003_irnt.ldsc.imputed_v3.female.tsv.bgz
24003_irnt.male	Nitrogen dioxide air pollution; 2010	non-blood	https://www.dropbox.com/s/ealat1rok5a3y8g/24003_irnt.ldsc.imputed_v3.male.tsv.bgz
24004_irnt.female	Nitrogen oxides air pollution; 2010	non-blood	https://www.dropbox.com/s/29ytrckco4ojwci/24004_irnt.ldsc.imputed_v3.female.tsv.bgz
24004_irnt.male	Nitrogen oxides air pollution; 2010	non-blood	https://www.dropbox.com/s/f7gjay8o692e535/24004_irnt.ldsc.imputed_v3.male.tsv.bgz
24005_irnt.female	Particulate matter air pollution (pm10); 2010	non-blood	https://www.dropbox.com/s/fzj9vtxz051mm97/24005_irnt.ldsc.imputed_v3.female.tsv.bgz
24005_irnt.male	Particulate matter air pollution (pm10); 2010	non-blood	https://www.dropbox.com/s/druqsdt3dlqxguc/24005_irnt.ldsc.imputed_v3.male.tsv.bgz
24006_irnt.female	Particulate matter air pollution (pm2.5); 2010	non-blood	https://www.dropbox.com/s/g1pju8jg3njyxjb/24006_irnt.ldsc.imputed_v3.female.tsv.bgz
24006_irnt.male	Particulate matter air pollution (pm2.5); 2010	non-blood	https://www.dropbox.com/s/1ybyzwbp6nomajy/24006_irnt.ldsc.imputed_v3.male.tsv.bgz
24007_irnt.female	Particulate matter air pollution (pm2.5) absorbance; 2010	non-blood	https://www.dropbox.com/s/qnhbg3uea0jswza/24007_irnt.ldsc.imputed_v3.female.tsv.bgz
24007_irnt.male	Particulate matter air pollution (pm2.5) absorbance; 2010	non-blood	https://www.dropbox.com/s/8ljvaa3l6gihjqv/24007_irnt.ldsc.imputed_v3.male.tsv.bgz
24008_irnt.female	Particulate matter air pollution 2.5-10um; 2010	non-blood	https://www.dropbox.com/s/fxvvk0pb1v0g1tq/24008_irnt.ldsc.imputed_v3.female.tsv.bgz
24008_irnt.male	Particulate matter air pollution 2.5-10um; 2010	non-blood	https://www.dropbox.com/s/tg1r6lgkopfea4a/24008_irnt.ldsc.imputed_v3.male.tsv.bgz
24010_irnt.female	Inverse distance to the nearest road	non-blood	https://www.dropbox.com/s/tpsoaucr0ezf29w/24010_irnt.ldsc.imputed_v3.female.tsv.bgz
24010_irnt.male	Inverse distance to the nearest road	non-blood	https://www.dropbox.com/s/zs5grlk4mt9ddi5/24010_irnt.ldsc.imputed_v3.male.tsv.bgz
24011_irnt.female	Traffic intensity on the nearest major road	non-blood	https://www.dropbox.com/s/9js6w0c8r7zk80x/24011_irnt.ldsc.imputed_v3.female.tsv.bgz
24011_irnt.male	Traffic intensity on the nearest major road	non-blood	https://www.dropbox.com/s/blvlgb2xhbidlwl/24011_irnt.ldsc.imputed_v3.male.tsv.bgz
24012_irnt.female	Inverse distance to the nearest major road	non-blood	https://www.dropbox.com/s/fhc0k72kril3ld1/24012_irnt.ldsc.imputed_v3.female.tsv.bgz
24012_irnt.male	Inverse distance to the nearest major road	non-blood	https://www.dropbox.com/s/nzxenvfatjigbdn/24012_irnt.ldsc.imputed_v3.male.tsv.bgz
24016_irnt.female	Nitrogen dioxide air pollution; 2005	non-blood	https://www.dropbox.com/s/cooszxe0maccceb/24016_irnt.ldsc.imputed_v3.female.tsv.bgz
24016_irnt.male	Nitrogen dioxide air pollution; 2005	non-blood	https://www.dropbox.com/s/vj1ifj3u3btqn9x/24016_irnt.ldsc.imputed_v3.male.tsv.bgz
24017_irnt.female	Nitrogen dioxide air pollution; 2006	non-blood	https://www.dropbox.com/s/qs5adfrm98y7u2d/24017_irnt.ldsc.imputed_v3.female.tsv.bgz
24017_irnt.male	Nitrogen dioxide air pollution; 2006	non-blood	https://www.dropbox.com/s/g185dvfsjj02ztj/24017_irnt.ldsc.imputed_v3.male.tsv.bgz
24018_irnt.female	Nitrogen dioxide air pollution; 2007	non-blood	https://www.dropbox.com/s/w8c7jy04yjxx1yn/24018_irnt.ldsc.imputed_v3.female.tsv.bgz
24018_irnt.male	Nitrogen dioxide air pollution; 2007	non-blood	https://www.dropbox.com/s/tnulzcx6eh0k125/24018_irnt.ldsc.imputed_v3.male.tsv.bgz
24019_irnt.female	Particulate matter air pollution (pm10); 2007	non-blood	https://www.dropbox.com/s/41p9eos5k7t4jjx/24019_irnt.ldsc.imputed_v3.female.tsv.bgz
24019_irnt.male	Particulate matter air pollution (pm10); 2007	non-blood	https://www.dropbox.com/s/8886ascgx8coa1o/24019_irnt.ldsc.imputed_v3.male.tsv.bgz
24020_irnt.female	Average daytime sound level of noise pollution	non-blood	https://www.dropbox.com/s/9axtraagsfil9q1/24020_irnt.ldsc.imputed_v3.female.tsv.bgz
24020_irnt.male	Average daytime sound level of noise pollution	non-blood	https://www.dropbox.com/s/a9bfs021cri83tj/24020_irnt.ldsc.imputed_v3.male.tsv.bgz
24021_irnt.female	Average evening sound level of noise pollution	non-blood	https://www.dropbox.com/s/r8c258562dx6cup/24021_irnt.ldsc.imputed_v3.female.tsv.bgz
24021_irnt.male	Average evening sound level of noise pollution	non-blood	https://www.dropbox.com/s/ddo5s8n1xfgb57n/24021_irnt.ldsc.imputed_v3.male.tsv.bgz
24022_irnt.female	Average night-time sound level of noise pollution	non-blood	https://www.dropbox.com/s/5oselejomi36374/24022_irnt.ldsc.imputed_v3.female.tsv.bgz
24022_irnt.male	Average night-time sound level of noise pollution	non-blood	https://www.dropbox.com/s/mno5hwbyp2qy18y/24022_irnt.ldsc.imputed_v3.male.tsv.bgz
24023_irnt.female	Average 16-hour sound level of noise pollution	non-blood	https://www.dropbox.com/s/7q5l7dkxeyjn3dj/24023_irnt.ldsc.imputed_v3.female.tsv.bgz
24023_irnt.male	Average 16-hour sound level of noise pollution	non-blood	https://www.dropbox.com/s/31r288f146fl99n/24023_irnt.ldsc.imputed_v3.male.tsv.bgz
24024_irnt.female	Average 24-hour sound level of noise pollution	non-blood	https://www.dropbox.com/s/lmcqdcn16x1y6ux/24024_irnt.ldsc.imputed_v3.female.tsv.bgz
24024_irnt.male	Average 24-hour sound level of noise pollution	non-blood	https://www.dropbox.com/s/81oxkx2civn4ynv/24024_irnt.ldsc.imputed_v3.male.tsv.bgz
30000_irnt.female	White blood cell (leukocyte) count	blood count	https://www.dropbox.com/s/buk7mpqg0yt8zw2/30000_irnt.ldsc.imputed_v3.female.tsv.bgz
30000_irnt.male	White blood cell (leukocyte) count	blood count	https://www.dropbox.com/s/c8xpy2rn2n8nrga/30000_irnt.ldsc.imputed_v3.male.tsv.bgz
30010_irnt.female	Red blood cell (erythrocyte) count	blood count	https://www.dropbox.com/s/7mg5uwsgjub3edq/30010_irnt.ldsc.imputed_v3.female.tsv.bgz
30010_irnt.male	Red blood cell (erythrocyte) count	blood count	https://www.dropbox.com/s/9m65tgrbyr0gxsp/30010_irnt.ldsc.imputed_v3.male.tsv.bgz
30020_irnt.female	Haemoglobin concentration	blood count	https://www.dropbox.com/s/dr720nblotsjfe2/30020_irnt.ldsc.imputed_v3.female.tsv.bgz
30020_irnt.male	Haemoglobin concentration	blood count	https://www.dropbox.com/s/qy5z7c1es4f3txg/30020_irnt.ldsc.imputed_v3.male.tsv.bgz
30030_irnt.female	Haematocrit percentage	blood count	https://www.dropbox.com/s/zs2c9ipgyg38i3r/30030_irnt.ldsc.imputed_v3.female.tsv.bgz
30030_irnt.male	Haematocrit percentage	blood count	https://www.dropbox.com/s/zq4bp1a5k67wfyg/30030_irnt.ldsc.imputed_v3.male.tsv.bgz
30040_irnt.female	Mean corpuscular volume	blood count	https://www.dropbox.com/s/fhuw3rk89md55gn/30040_irnt.ldsc.imputed_v3.female.tsv.bgz
30040_irnt.male	Mean corpuscular volume	blood count	https://www.dropbox.com/s/8xubym6d7g46lhb/30040_irnt.ldsc.imputed_v3.male.tsv.bgz
30050_irnt.female	Mean corpuscular haemoglobin	blood count	https://www.dropbox.com/s/6msidx22f0hll4g/30050_irnt.ldsc.imputed_v3.female.tsv.bgz
30050_irnt.male	Mean corpuscular haemoglobin	blood count	https://www.dropbox.com/s/504imqdulrrgc2t/30050_irnt.ldsc.imputed_v3.male.tsv.bgz
30060_irnt.female	Mean corpuscular haemoglobin concentration	blood count	https://www.dropbox.com/s/ndwotwkdi9injez/30060_irnt.ldsc.imputed_v3.female.tsv.bgz
30060_irnt.male	Mean corpuscular haemoglobin concentration	blood count	https://www.dropbox.com/s/86bptkskuzxobts/30060_irnt.ldsc.imputed_v3.male.tsv.bgz
30070_irnt.female	Red blood cell (erythrocyte) distribution width	blood count	https://www.dropbox.com/s/247loyp5pp1zmno/30070_irnt.ldsc.imputed_v3.female.tsv.bgz
30070_irnt.male	Red blood cell (erythrocyte) distribution width	blood count	https://www.dropbox.com/s/u9495zssgmqxewl/30070_irnt.ldsc.imputed_v3.male.tsv.bgz
30080_irnt.female	Platelet count	blood count	https://www.dropbox.com/s/hblz8go0woqzt7o/30080_irnt.ldsc.imputed_v3.female.tsv.bgz
30080_irnt.male	Platelet count	blood count	https://www.dropbox.com/s/x7cfiwbw3wcvt31/30080_irnt.ldsc.imputed_v3.male.tsv.bgz
30090_irnt.female	Platelet crit	blood count	https://www.dropbox.com/s/odau56010zv8av7/30090_irnt.ldsc.imputed_v3.female.tsv.bgz
30090_irnt.male	Platelet crit	blood count	https://www.dropbox.com/s/jpldhqmtlllkkaq/30090_irnt.ldsc.imputed_v3.male.tsv.bgz
30100_irnt.female	Mean platelet (thrombocyte) volume	blood count	https://www.dropbox.com/s/qllyfzux6tdjebl/30100_irnt.ldsc.imputed_v3.female.tsv.bgz
30100_irnt.male	Mean platelet (thrombocyte) volume	blood count	https://www.dropbox.com/s/7b1wbowcb8dhrtt/30100_irnt.ldsc.imputed_v3.male.tsv.bgz
30110_irnt.female	Platelet distribution width	blood count	https://www.dropbox.com/s/j29riyychu1hw3x/30110_irnt.ldsc.imputed_v3.female.tsv.bgz
30110_irnt.male	Platelet distribution width	blood count	https://www.dropbox.com/s/2e5qn3np19rv2ob/30110_irnt.ldsc.imputed_v3.male.tsv.bgz
30120_irnt.female	Lymphocyte count	blood count	https://www.dropbox.com/s/0uw98s2amb40s10/30120_irnt.ldsc.imputed_v3.female.tsv.bgz
30120_irnt.male	Lymphocyte count	blood count	https://www.dropbox.com/s/xbc1bkeflcximea/30120_irnt.ldsc.imputed_v3.male.tsv.bgz
30130_irnt.female	Monocyte count	blood count	https://www.dropbox.com/s/4hfdonqk95uhnlz/30130_irnt.ldsc.imputed_v3.female.tsv.bgz
30130_irnt.male	Monocyte count	blood count	https://www.dropbox.com/s/ti9sa9m51lzxd8y/30130_irnt.ldsc.imputed_v3.male.tsv.bgz
30140_irnt.female	Neutrophill count	blood count	https://www.dropbox.com/s/47qelj9kdne76y8/30140_irnt.ldsc.imputed_v3.female.tsv.bgz
30140_irnt.male	Neutrophill count	blood count	https://www.dropbox.com/s/6e9e9a568q549i1/30140_irnt.ldsc.imputed_v3.male.tsv.bgz
30180_irnt.female	Lymphocyte percentage	blood count	https://www.dropbox.com/s/9g9otxev6ul57a8/30180_irnt.ldsc.imputed_v3.female.tsv.bgz
30180_irnt.male	Lymphocyte percentage	blood count	https://www.dropbox.com/s/7xbia4ygyugjaqy/30180_irnt.ldsc.imputed_v3.male.tsv.bgz
30190_irnt.female	Monocyte percentage	blood count	https://www.dropbox.com/s/37ykizrmfs816wa/30190_irnt.ldsc.imputed_v3.female.tsv.bgz
30190_irnt.male	Monocyte percentage	blood count	https://www.dropbox.com/s/qkb8qmu3547g6u8/30190_irnt.ldsc.imputed_v3.male.tsv.bgz
30200_irnt.female	Neutrophill percentage	blood count	https://www.dropbox.com/s/yqpxajw9jjqzcuu/30200_irnt.ldsc.imputed_v3.female.tsv.bgz
30200_irnt.male	Neutrophill percentage	blood count	https://www.dropbox.com/s/nev6xl41mztog3i/30200_irnt.ldsc.imputed_v3.male.tsv.bgz
30210_irnt.female	Eosinophill percentage	blood count	https://www.dropbox.com/s/47477f2qpm48gz1/30210_irnt.ldsc.imputed_v3.female.tsv.bgz
30210_irnt.male	Eosinophill percentage	blood count	https://www.dropbox.com/s/rogo14xd32n54x2/30210_irnt.ldsc.imputed_v3.male.tsv.bgz
30220_irnt.female	Basophill percentage	blood count	https://www.dropbox.com/s/zq86zuw82lwgxj7/30220_irnt.ldsc.imputed_v3.female.tsv.bgz
30220_irnt.male	Basophill percentage	blood count	https://www.dropbox.com/s/loiyvghrhv7n3yj/30220_irnt.ldsc.imputed_v3.male.tsv.bgz
30240_irnt.female	Reticulocyte percentage	blood count	https://www.dropbox.com/s/7qazz25zn72fw56/30240_irnt.ldsc.imputed_v3.female.tsv.bgz
30240_irnt.male	Reticulocyte percentage	blood count	https://www.dropbox.com/s/oouzul5f5rg139j/30240_irnt.ldsc.imputed_v3.male.tsv.bgz
30250_irnt.female	Reticulocyte count	blood count	https://www.dropbox.com/s/tuchomuuujoczmg/30250_irnt.ldsc.imputed_v3.female.tsv.bgz
30250_irnt.male	Reticulocyte count	blood count	https://www.dropbox.com/s/ar9vgsum3wmosk1/30250_irnt.ldsc.imputed_v3.male.tsv.bgz
30260_irnt.female	Mean reticulocyte volume	blood count	https://www.dropbox.com/s/lq9hyf9edrs1ces/30260_irnt.ldsc.imputed_v3.female.tsv.bgz
30260_irnt.male	Mean reticulocyte volume	blood count	https://www.dropbox.com/s/ji1dhq6ppaytvzj/30260_irnt.ldsc.imputed_v3.male.tsv.bgz
30270_irnt.female	Mean sphered cell volume	blood count	https://www.dropbox.com/s/msjq626ox1wcvov/30270_irnt.ldsc.imputed_v3.female.tsv.bgz
30270_irnt.male	Mean sphered cell volume	blood count	https://www.dropbox.com/s/z63sszg5dmrsepw/30270_irnt.ldsc.imputed_v3.male.tsv.bgz
30280_irnt.female	Immature reticulocyte fraction	blood count	https://www.dropbox.com/s/wmcudxu9qei1er9/30280_irnt.ldsc.imputed_v3.female.tsv.bgz
30280_irnt.male	Immature reticulocyte fraction	blood count	https://www.dropbox.com/s/b0nhyro88g50c10/30280_irnt.ldsc.imputed_v3.male.tsv.bgz
30290_irnt.female	High light scatter reticulocyte percentage	blood count	https://www.dropbox.com/s/s2b51vgohbwzwqz/30290_irnt.ldsc.imputed_v3.female.tsv.bgz
30290_irnt.male	High light scatter reticulocyte percentage	blood count	https://www.dropbox.com/s/d8yzajrw0t88u7l/30290_irnt.ldsc.imputed_v3.male.tsv.bgz
30300_irnt.female	High light scatter reticulocyte count	blood count	https://www.dropbox.com/s/qifnmv65ic5mxm8/30300_irnt.ldsc.imputed_v3.female.tsv.bgz
30300_irnt.male	High light scatter reticulocyte count	blood count	https://www.dropbox.com/s/ws7m35rla6ktu08/30300_irnt.ldsc.imputed_v3.male.tsv.bgz
30500_irnt.female	Microalbumin in urine	non-blood	https://www.dropbox.com/s/nxnu2zbqpa3fik4/30500_irnt.ldsc.imputed_v3.female.tsv.bgz
30500_irnt.male	Microalbumin in urine	non-blood	https://www.dropbox.com/s/geikwthuvxzebrh/30500_irnt.ldsc.imputed_v3.male.tsv.bgz
30510_irnt.female	Creatinine (enzymatic) in urine	non-blood	https://www.dropbox.com/s/a1feeepcp2r8aqn/30510_irnt.ldsc.imputed_v3.female.tsv.bgz
30510_irnt.male	Creatinine (enzymatic) in urine	non-blood	https://www.dropbox.com/s/mt0sm24ymmdviu3/30510_irnt.ldsc.imputed_v3.male.tsv.bgz
30520_irnt.female	Potassium in urine	non-blood	https://www.dropbox.com/s/alwpk794kioeyev/30520_irnt.ldsc.imputed_v3.female.tsv.bgz
30520_irnt.male	Potassium in urine	non-blood	https://www.dropbox.com/s/a9i307zm4aw7psn/30520_irnt.ldsc.imputed_v3.male.tsv.bgz
30530_irnt.female	Sodium in urine	non-blood	https://www.dropbox.com/s/uqi4qdsjqrxzluk/30530_irnt.ldsc.imputed_v3.female.tsv.bgz
30530_irnt.male	Sodium in urine	non-blood	https://www.dropbox.com/s/ydiokigi0q9ayed/30530_irnt.ldsc.imputed_v3.male.tsv.bgz
30600_irnt.female	Albumin (g/L)	blood biochemistry	https://www.dropbox.com/s/8xkl5pjx7ljm6gv/30600_irnt.imputed_v3.ldsc.female.tsv.gz
30600_irnt.male	Albumin (g/L)	blood biochemistry	https://www.dropbox.com/s/ss6w7tohndmev69/30600_irnt.imputed_v3.ldsc.male.tsv.gz
30610_irnt.female	Alkaline phosphatase (U/L)	blood biochemistry	https://www.dropbox.com/s/os7vj7t1cdsnwhz/30610_irnt.imputed_v3.ldsc.female.tsv.gz
30610_irnt.male	Alkaline phosphatase (U/L)	blood biochemistry	https://www.dropbox.com/s/sohck49exp3enft/30610_irnt.imputed_v3.ldsc.male.tsv.gz
30620_irnt.female	Alanine aminotransferase (U/L)	blood biochemistry	https://www.dropbox.com/s/80ez714kb113bi9/30620_irnt.imputed_v3.ldsc.female.tsv.gz
30620_irnt.male	Alanine aminotransferase (U/L)	blood biochemistry	https://www.dropbox.com/s/cz8at51jk5e1r3t/30620_irnt.imputed_v3.ldsc.male.tsv.gz
30630_irnt.female	Apoliprotein A (g/L)	blood biochemistry	https://www.dropbox.com/s/o1j39cu9lxp9tg3/30630_irnt.imputed_v3.ldsc.female.tsv.gz
30630_irnt.male	Apoliprotein A (g/L)	blood biochemistry	https://www.dropbox.com/s/8e92ugbdg33oq4v/30630_irnt.imputed_v3.ldsc.male.tsv.gz
30640_irnt.female	Apoliprotein B (g/L)	blood biochemistry	https://www.dropbox.com/s/chgz13kje4pkh76/30640_irnt.imputed_v3.ldsc.female.tsv.gz
30640_irnt.male	Apoliprotein B (g/L)	blood biochemistry	https://www.dropbox.com/s/5nsuvh30zed4735/30640_irnt.imputed_v3.ldsc.male.tsv.gz
30650_irnt.female	Aspartate aminotransferase (U/L)	blood biochemistry	https://www.dropbox.com/s/paje5l3tjc7us7y/30650_irnt.imputed_v3.ldsc.female.tsv.gz
30650_irnt.male	Aspartate aminotransferase (U/L)	blood biochemistry	https://www.dropbox.com/s/bznrehiib34d499/30650_irnt.imputed_v3.ldsc.male.tsv.gz
30660_irnt.female	Direct bilirubin (umol/L)	blood biochemistry	https://www.dropbox.com/s/kc5hkbdru9jb0rh/30660_irnt.imputed_v3.ldsc.female.tsv.gz
30660_irnt.male	Direct bilirubin (umol/L)	blood biochemistry	https://www.dropbox.com/s/1qrdf8r6se4ifeg/30660_irnt.imputed_v3.ldsc.male.tsv.gz
30670_irnt.female	Urea (mmol/L)	blood biochemistry	https://www.dropbox.com/s/2otskspq5al91vn/30670_irnt.imputed_v3.ldsc.female.tsv.gz
30670_irnt.male	Urea (mmol/L)	blood biochemistry	https://www.dropbox.com/s/sa378n8gpb32wat/30670_irnt.imputed_v3.ldsc.male.tsv.gz
30680_irnt.female	Calcium (mmol/L)	blood biochemistry	https://www.dropbox.com/s/9m0obmjlpkspddu/30680_irnt.imputed_v3.ldsc.female.tsv.gz
30680_irnt.male	Calcium (mmol/L)	blood biochemistry	https://www.dropbox.com/s/wiyxpczg9979v0q/30680_irnt.imputed_v3.ldsc.male.tsv.gz
30690_irnt.female	Cholesterol (mmol/L)	blood biochemistry	https://www.dropbox.com/s/gjuzic5domntvx8/30690_irnt.imputed_v3.ldsc.female.tsv.gz
30690_irnt.male	Cholesterol (mmol/L)	blood biochemistry	https://www.dropbox.com/s/4r3y7576rj7duae/30690_irnt.imputed_v3.ldsc.male.tsv.gz
30700_irnt.female	Creatinine (umol/L)	blood biochemistry	https://www.dropbox.com/s/5vk9n75iwvuz6ap/30700_irnt.imputed_v3.ldsc.female.tsv.gz
30700_irnt.male	Creatinine (umol/L)	blood biochemistry	https://www.dropbox.com/s/scobfxos9jzybl1/30700_irnt.imputed_v3.ldsc.male.tsv.gz
30710_irnt.female	C-reactive protein (mg/L)	blood biochemistry	https://www.dropbox.com/s/5iqlx2toqru5w8y/30710_irnt.imputed_v3.ldsc.female.tsv.gz
30710_irnt.male	C-reactive protein (mg/L)	blood biochemistry	https://www.dropbox.com/s/22vw8vhgjh1m7i2/30710_irnt.imputed_v3.ldsc.male.tsv.gz
30720_irnt.female	Cystatin C (mg/L)	blood biochemistry	https://www.dropbox.com/s/d2tw0z4f6vzixhk/30720_irnt.imputed_v3.ldsc.female.tsv.gz
