trait_short	Enrichment	Enrichment_p	Enrichment_p_adj	description
24018_irnt.male	0.8882404970210956	0.98037969533111	0.9979248144905378	Nitrogen dioxide air pollution; 2007
3786_irnt.male	1.2056138094280386	0.9809053487335035	0.9979248144905378	Age asthma diagnosed
100001_irnt.male	1.2706759168172126	0.9812486501528888	0.9979248144905378	Food weight
100025_irnt.female	-0.4158501813338822	0.9813504131284922	0.9979248144905378	Vitamin E
22702_irnt.female	0.7224814527076833	0.9826244340298652	0.9979248144905378	Home location - east co-ordinate (rounded)
5112_irnt.male	0.8118345547681851	0.9866233597955298	0.9998339065999664	3mm cylindrical power angle (left)
100012_irnt.male	0.9158856675430888	0.9912147869496112	0.9998339065999664	Vitamin B6
24017_irnt.male	0.9817261021135362	0.9967327865189124	0.9998339065999664	Nitrogen dioxide air pollution; 2006
5133_irnt.female	1.0086046544296896	0.9967816794579198	0.9998339065999664	6mm strong meridian (right)
5097_irnt.male	1.006651720128143	0.9970397451970132	0.9998339065999664	6mm weak meridian (left)
84_irnt.female	0.9074856544765276	0.9972571062187496	0.9998339065999664	Cancer year/age first occurred
30780_irnt.male	0.9937427037725832	0.9982171657480454	0.9998339065999664	LDL direct (mmol/L)
22644_irnt.female	0.9712193096008166	0.999752552145788	0.9998339065999664	Consecutive night shifts during mixed shift periods
20434_irnt.female	1.0036819609304388	0.9998339065999664	0.9998339065999664	Age at last episode of depression
